week,temperature_max,temperature_min,temperature_average,total_snow_cm,precipitation_mm,city
201752,13.0,0.0,6.71,0.0,7.1,Ondreville-Sur-Essonne
201751,9.0,2.0,6.57,0.0,3.6,Ondreville-Sur-Essonne
201750,9.0,1.0,4.86,0.0,6.9,Ondreville-Sur-Essonne
201749,10.0,0.0,4.57,0.1,1.9,Ondreville-Sur-Essonne
201748,9.0,-1.0,3.0,0.0,8.5,Ondreville-Sur-Essonne
201747,15.0,2.0,8.43,0.0,1.9,Ondreville-Sur-Essonne
201746,10.0,3.0,6.57,0.0,0.3,Ondreville-Sur-Essonne
201745,13.0,3.0,8.0,0.0,5.1,Ondreville-Sur-Essonne
201744,16.0,5.0,10.0,0.0,1.0,Ondreville-Sur-Essonne
201743,20.0,7.0,13.14,0.0,0.7,Ondreville-Sur-Essonne
201742,25.0,10.0,15.86,0.0,1.2,Ondreville-Sur-Essonne
201741,24.0,10.0,15.57,0.0,0.7,Ondreville-Sur-Essonne
201740,18.0,7.0,13.29,0.0,4.0,Ondreville-Sur-Essonne
201739,25.0,12.0,16.57,0.0,3.5,Ondreville-Sur-Essonne
201738,23.0,9.0,14.0,0.0,1.4,Ondreville-Sur-Essonne
201737,19.0,8.0,13.43,0.0,19.7,Ondreville-Sur-Essonne
201736,23.0,10.0,16.43,0.0,11.5,Ondreville-Sur-Essonne
201735,33.0,12.0,19.29,0.0,0.4,Ondreville-Sur-Essonne
201734,29.0,16.0,21.43,0.0,3.4,Ondreville-Sur-Essonne
201733,26.0,12.0,18.86,0.0,14.1,Ondreville-Sur-Essonne
201732,25.0,11.0,16.57,0.0,8.5,Ondreville-Sur-Essonne
201731,28.0,12.0,19.86,0.0,4.6,Ondreville-Sur-Essonne
201730,26.0,13.0,18.71,0.0,2.3,Ondreville-Sur-Essonne
201729,31.0,12.0,20.29,0.0,9.6,Ondreville-Sur-Essonne
201728,26.0,11.0,18.43,0.0,10.8,Ondreville-Sur-Essonne
201727,30.0,11.0,21.57,0.0,7.5,Ondreville-Sur-Essonne
201726,25.0,11.0,16.86,0.0,22.7,Ondreville-Sur-Essonne
201725,33.0,14.0,22.57,0.0,2.1,Ondreville-Sur-Essonne
